﻿DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_Month,INCIDENT_DAY,REPORT_DATE_FLAG,INCIDENT_HOUR,DATA_HOME,ORIG_FORMAT,DID
2019,1909,112243594,8150026,N,43635,2/4/2019,February,4,,1,C,F,48505645
2019,1909,112243612,8157688,N,43635,3/17/2019,March,17,,7,C,F,48507666
2019,1909,122115835,8218984,N,43906,11/18/2019,November,18,R,0,C,F,68962194
2019,1909,117655502,8195998,N,43784,8/1/2019,August,1,,18,C,F,59938934
2019,1909,117659977,8180674,N,43784,6/2/2019,June,2,,12,C,F,59938938
2019,1909,122115810,8218984,N,43906,11/17/2019,November,17,R,0,C,F,68962161
2019,1982,117669063,8203724,N,43784,9/4/2019,September,4,R,0,C,F,59964172
2019,1982,112287234,8157752,N,43635,3/14/2019,March,14,R,0,C,F,48573799
2019,1982,116129149,8180738,N,43731,6/26/2019,June,26,R,11,C,F,56514528
2019,1982,116140875,8180738,N,43731,6/16/2019,June,16,,1,C,F,56519331
2019,1982,119342889,8211386,N,43843,10/29/2019,October,29,R,0,C,F,63300873
2019,1982,119338896,8211386,N,43843,10/31/2019,October,31,R,0,C,F,63300885
2019,1982,119336060,8211386,N,43843,10/23/2019,October,23,,0,C,F,63303664
2019,1842,116139140,8203615,N,43731,9/15/2019,September,15,,8,C,F,56516722
2019,1842,109097479,8157643,N,43557,3/19/2019,March,19,,16,C,F,42679518
2019,1842,116812297,8211277,N,43754,10/10/2019,October,10,,13,C,F,57997043
2019,1842,117667009,8211277,N,43784,10/24/2019,October,24,,13,C,F,59951450
2019,1842,116807192,8203615,N,43754,9/19/2019,September,19,,8,C,F,57996949
2019,1909,122115795,8180674,N,43906,6/21/2019,June,21,,19,C,F,68953181
2019,1909,122115801,8218984,N,43906,11/12/2019,November,12,R,0,C,F,68962151
2019,1904,109085249,8150022,N,43557,2/6/2019,February,6,,16,C,F,42685006
2019,1904,109093460,8142360,N,43557,1/14/2019,January,14,,8,C,F,42685113
2019,1904,109085288,8150022,N,43557,2/17/2019,February,17,,23,C,F,42689577
2019,1904,109093461,8150022,N,43557,2/28/2019,February,28,,8,C,F,42679086
2019,1904,112258567,8165346,N,43635,4/28/2019,April,28,,6,C,F,48532299
2019,1904,109096840,8150022,N,43557,2/15/2019,February,15,,20,C,F,42689569
2019,1904,120327820,8211318,N,43872,10/11/2019,October,11,,17,C,F,65181550
2019,1904,109093370,8150022,N,43557,2/2/2019,February,2,,8,C,F,42689525
2019,1904,109096847,8150022,N,43557,2/17/2019,February,17,,23,C,F,42689575
2019,1904,120326821,8173008,N,43872,5/16/2019,May,16,R,17,C,F,65174001
2019,1904,120324739,8180670,N,43872,6/15/2019,June,15,R,21,C,F,65179265
2019,1904,112258582,8165346,N,43635,4/20/2019,April,20,,8,C,F,48530040
2019,1842,117666951,8211277,N,43784,10/19/2019,October,19,,0,C,F,59951400
2019,1842,112266059,8172967,N,43635,5/23/2019,May,23,,4,C,F,48544831
2019,1842,112726101,8180629,N,43662,6/29/2019,June,29,,23,C,F,49306514
2019,1842,112726084,8180629,N,43662,6/26/2019,June,26,,9,C,F,49312362
2019,1842,112721508,8180629,N,43662,6/28/2019,June,28,,11,C,F,49318070
2019,1842,112240597,8172967,N,43635,5/10/2019,May,10,,10,C,F,48504757
2019,1842,118744065,8211277,N,43817,10/14/2019,October,14,,2,C,F,62054648
